model_size,batch_size,context_length,dtype,tool,name,calls,cpu_total_us,cpu_self_us,cuda_total_us,cuda_self_us
medium,1,512,fp32,torch.profiler,autograd::engine::evaluate_function: DivBackward0,48,3694.2630000000063,517.0870000000577,3164.2559999999794,0.0
medium,1,512,fp32,torch.profiler,attention/scores,24,0.0,0.0,3088.3190000000004,3088.3190000000004
medium,1,512,fp32,torch.profiler,MulBackward0,338,9166.865999999936,1241.7409999998636,3025.671000000657,0.0
medium,1,512,fp32,torch.profiler,DivBackward0,48,2717.7149999999965,355.58299999986775,2987.2339999999967,0.0
medium,1,512,fp32,torch.profiler,ampere_sgemm_32x128_nt,96,0.0,0.0,2787.804000000091,2787.804000000091
medium,1,512,fp32,torch.profiler,aten::pow,366,7544.043999999522,4519.367999999555,2698.851000000133,2597.1830000001714
medium,1,512,fp32,torch.profiler,attention/softmax,24,0.0,0.0,2592.9909999999936,2592.9909999999936
medium,1,512,fp32,torch.profiler,"void at::native::vectorized_elementwise_kernel<4, at::native::(anonymous namespace)::pow_tensor_scalar_kernel_impl<float, float>(at::TensorIteratorBase&, float)::{lambda(float)#1}, std::array<char*, 2ul> >(int, at::native::(anonymous namespace)::pow_tensor_scalar_kernel_impl<float, float>(at::TensorIteratorBase&, float)::{lambda(float)#1}, std::array<char*, 2ul>)",268,0.0,0.0,2543.939000000151,2543.939000000151
medium,1,512,fp32,torch.profiler,aten::square,219,4066.6789999999455,307.221000000427,2448.325000000157,0.0
medium,1,512,fp32,torch.profiler,ampere_sgemm_128x128_nn,48,0.0,0.0,2102.1119999999473,2102.1119999999473
medium,1,512,fp32,torch.profiler,aten::fill_,514,4943.7080000002325,2237.5669999998954,2056.001999999724,2056.001999999724
medium,1,512,fp32,torch.profiler,"void at::native::vectorized_elementwise_kernel<4, at::native::FillFunctor<float>, std::array<char*, 1ul> >(int, at::native::FillFunctor<float>, std::array<char*, 1ul>)",514,0.0,0.0,2056.001999999724,2056.001999999724
medium,1,512,fp32,torch.profiler,ampere_sgemm_128x128_nt,48,0.0,0.0,2052.286999999953,2052.286999999953
medium,1,512,fp32,torch.profiler,attention/value,24,3804.126999999995,1117.970999999994,1068.864999999988,0.0
medium,1,512,fp32,torch.profiler,attention/value,24,0.0,0.0,1068.864999999988,1068.864999999988
medium,1,512,fp32,torch.profiler,backward,1,134402.255,134361.51,0.864000000001397,0.0
medium,1,512,fp32,torch.profiler,backward,1,0.0,0.0,0.864000000001397,0.864000000001397
medium,1,512,fp32,torch.profiler,profile/warmup,1,732.707,732.707,0.0,0.0
small,1,1024,fp32,cuda_event,backward,1,,,72169.73114013672,
small,1,1024,fp32,cuda_event,forward,1,,,34595.39031982422,
small,1,1024,fp32,cuda_event,optimizer,1,,,48220.25680541992,
small,1,1024,fp32,torch.profiler,Optimizer.step#AdamW.step,1,0.0,0.0,47934.37200000002,47934.37200000002
small,1,1024,fp32,torch.profiler,forward,1,0.0,0.0,34311.384999999995,34311.384999999995
small,1,1024,fp32,torch.profiler,aten::bmm,327,11353.517999999958,7609.973999999795,26624.893999999906,26624.893999999906
small,1,1024,fp32,torch.profiler,profile/measure,1,156133.734,1181.8609999999462,24658.635000000006,0.0
small,1,1024,fp32,torch.profiler,autograd::engine::evaluate_function: BmmBackward0,109,10188.507000000063,1109.1540000000896,17631.76199999993,0.0
small,1,1024,fp32,torch.profiler,BmmBackward0,109,9079.352999999974,985.5980000001,17631.76199999993,0.0
small,1,1024,fp32,torch.profiler,forward,1,34204.084,7539.79900000001,15575.243999999962,0.0
small,1,1024,fp32,torch.profiler,aten::mul,1206,20744.896000000015,13243.855000000107,10574.399000000376,10574.399000000376
small,1,1024,fp32,torch.profiler,optimizer,1,47673.47200000001,112.02999999999884,9076.83100000002,0.0
small,1,1024,fp32,torch.profiler,Optimizer.step#AdamW.step,1,47561.44200000001,12302.842000000412,9076.83100000002,0.0
small,1,1024,fp32,torch.profiler,aten::einsum,109,12049.72699999999,2673.981000000014,8993.131999999976,0.0
small,1,1024,fp32,torch.profiler,autograd::engine::evaluate_function: DivBackward0,24,1978.9509999999864,290.28200000002107,8512.261999999937,0.0
small,1,1024,fp32,torch.profiler,DivBackward0,24,1436.909999999989,177.99399999992602,7604.900999999918,0.0
small,1,1024,fp32,torch.profiler,aten::div,210,4000.8659999998717,2620.9859999998253,7253.932999999844,7253.932999999844
small,1,1024,fp32,torch.profiler,ampere_sgemm_128x64_tn,85,0.0,0.0,7188.419999999995,7188.419999999995
